The Lord of the Rings: The Return of the King,PS2,2003.0,Action,Electronic Arts,EA Games,T
Gears of War: Ultimate Edition,XOne,2015.0,Shooter,Microsoft Game Studios,"Splash Damage, The Coalition",M
True Crime: Streets of LA,PS2,2003.0,Action,Activision,"Luxoflux, Inc.",M
Professor Layton and the Unwound Future,DS,2008.0,Puzzle,Nintendo,Level 5,E10+
FIFA 16,XOne,2015.0,Sports,Electronic Arts,EA Sports,E
Wii Music,Wii,2008.0,Misc,Nintendo,Nintendo,E
Madden NFL 16,PS4,2015.0,Sports,Electronic Arts,EA Sports,E
Gran Turismo 6,PS3,2013.0,Racing,Sony Computer Entertainment,Polyphony Digital,E
Halo: The Master Chief Collection,XOne,2014.0,Shooter,Microsoft Game Studios,343 Industries,M
Super Mario Maker,WiiU,2015.0,Platform,Nintendo,Nintendo,E
God of War: Chains of Olympus,PSP,2008.0,Action,Sony Computer Entertainment,Ready at Dawn,M
Enter the Matrix,PS2,2003.0,Action,Atari,Shiny Entertainment,T
Crisis Core: Final Fantasy VII,PSP,2007.0,Role-Playing,Square Enix,Square Enix,T
Dance Central,X360,2010.0,Misc,MTV Games,Harmonix Music Systems,T
L.A. Noire,PS3,2011.0,Adventure,Take-Two Interactive,Team Bondi,M
Ace Combat 04: Shattered Skies,PS2,2001.0,Simulation,Sony Computer Entertainment Europe,Namco,E
Animal Crossing,GC,2001.0,Simulation,Nintendo,Nintendo,E
FIFA Soccer 08,PS2,2007.0,Sports,Electronic Arts,EA Canada,E
Spider-Man,PS,2000.0,Action,Activision,Neversoft Entertainment,E
Mario Party 9,Wii,2012.0,Misc,Nintendo,Nd Cube,E
Sonic Rush,DS,2005.0,Platform,Sega,"Dimps Corporation, Sonic Team",E
Rhythm Heaven,DS,2008.0,Misc,Nintendo,Nintendo,E
Fallout: New Vegas,PS3,2010.0,Role-Playing,Bethesda Softworks,Obsidian Entertainment,M
Personal Trainer: Cooking,DS,2006.0,Misc,Nintendo,Indies Zero,E
The Elder Scrolls IV: Oblivion,PS3,2007.0,Role-Playing,Ubisoft,4J Studios,M
The Legend of Zelda: A Link Between Worlds,3DS,2013.0,Action,Nintendo,Nintendo,E
Resident Evil 6,PS3,2012.0,Shooter,Capcom,Capcom,M
Mass Effect 2,X360,2010.0,Role-Playing,Electronic Arts,BioWare,M
Dragon Ball Z: Budokai,PS2,2002.0,Fighting,Atari,Dimps Corporation,T
Madden NFL 2002,PS2,2001.0,Sports,Electronic Arts,EA Sports,E
The Sims: Vacation,PC,2002.0,Simulation,Electronic Arts,Maxis,T
Animal Crossing: Happy Home Designer,3DS,2015.0,Simulation,Nintendo,Nintendo,E
The Sims 4,PC,2014.0,Simulation,Electronic Arts,Maxis,T
Borderlands 2,X360,2012.0,Shooter,Take-Two Interactive,Gearbox Software,M
LEGO Batman: The Videogame,DS,2008.0,Action,Warner Bros. Interactive Entertainment,TT Fusion,E10+
Kung Fu Panda,X360,2008.0,Action,Activision,"Luxoflux, Inc.",E10+
Mass Effect 3,X360,2012.0,Role-Playing,Electronic Arts,BioWare,M
Heavy Rain,PS3,2010.0,Adventure,Sony Computer Entertainment,Quantic Dream,M
Saints Row 2,X360,2008.0,Action,THQ,Volition Inc.,M
Tom Clancys Splinter Cell,XB,2002.0,Action,Ubisoft,Ubisoft Montreal,T
FIFA 14,PS4,2013.0,Sports,Electronic Arts,EA Canada,E
Killzone 2,PS3,2009.0,Shooter,Sony Computer Entertainment,Guerrilla,M
Far Cry 3,X360,2012.0,Shooter,Ubisoft,Ubisoft Montreal,M
Epic Mickey,Wii,2010.0,Platform,Disney Interactive Studios,Junction Point,E
NBA 2K13,X360,2012.0,Sports,Take-Two Interactive,Visual Concepts,E
Dragon Ball Z: Budokai Tenkaichi 3,PS2,2007.0,Fighting,Atari,"Spike, Namco Bandai Games",T
The Sims: Livin Large,PC,2000.0,Misc,Electronic Arts,Maxis,T
World Soccer Winning Eleven 6 International,PS2,2002.0,Sports,Konami Digital Entertainment,KCET,E
